address,citystatezip,price,sqft,zip_code
795 E 5Th St # 3,,"$559,000",3Units,02127
332 Jamaicaway Apt 5,,"$469,000",32Units,02130
23 Eastburn St Unit: A,,"$405,000",2Units,02135
502 Medford St,,"$399,000",878Sq Ft,02129
466 Commonwealth Ave # 104,,"$649,000",115Units,02215
25 Hancock St Apt 2,,"$565,000",5Units,02114
33 Dix St,,"$559,000",3Units,02122
32 Shaw St,,"$639,000",2Units,02132
25 Fort Ave # 1,,"$389,000",3Units,02119
89 Call St # 3,,"$349,000",3Units,02130
49 Chestnut St,,"$849,000",954 Sq Ft,02129
416 Massachusetts Ave Apt G,,"$849,000","1,574 Sq Ft",02118
426 W 4Th St,,"$849,000","2,350 Sq Ft",02127
191 Beacon St Apt 1,,"$849,000","1,219 Sq Ft",02116
65 E India Row Apt 29C,,"$835,000","1,229 Sq Ft",02110
1 Charles St S Unit 6A,,"$829,000",944 Sq Ft,02116
61 Prince St Apt 2B,,"$829,000","1,279 Sq Ft",02113
26 Stillman St Apt 3-2,,"$829,000","1,336 Sq Ft",02113
45 Province St Apt 1408,,"$825,000",966 Sq Ft,02108
1750 Washington St Apt 4,,"$489,000",14Units,02118
425 S Huntington Ave Apt 16,,"$299,000",15Units,02130
9 Wichita Ter Apt 3,,"$299,000",450Sq Ft,02126
272 Bunker Hill St # 1,,"$194,900",845Sq Ft,02129
53 Montvale St # 1,,"$679,000","1,144Sq Ft",02131
120 Foster Ter,,"$384,900","1,053Sq Ft",02135
120 Foster Terrace Unit: 120,,"$359,900","1,266Sq Ft",02135
53 Montvale St # 3,,"$359,900","1,266Sq Ft",02131
56 Metropolitan Ave,,"$369,900","1,207Sq Ft",02131
343 Commercial Street Unit: 308,,"$500,000","2,680Sq Ft",02109
65 E India Row Apt 23C,,"$799,000","1,226 Sq Ft",02110
72 Warren St,,"$799,000","1,800 Sq Ft",02119
210 Allandale Rd Apt 1A,,"$799,000","2,647 Sq Ft",02467
241 Beacon St Apt 2,,"$799,000",870 Sq Ft,02116
16-18 Richardson Street,,"$795,000","1,106 Sq Ft",02135
123 Saint Botolph St Unit: 1&2,,"$789,000","1,721 Sq Ft",02115
4 Charlesgate E Unit: 101,,"$775,000","1,285 Sq Ft",02215
368 Dorchester St Unit 6,,"$775,000","2,241 Sq Ft",02127
938 Metropolitan Ave,,"$774,900","2,981 Sq Ft",02136
2400 Beacon St Unit 315,,"$769,000","1,450 Sq Ft",02467
531 Massachusetts Ave # 2,,"$759,000","1,016 Sq Ft",02118
85 E India Row Apt 20G,,"$750,000",917 Sq Ft,02110
8 National St,,"$750,000","1,211 Sq Ft",02127
LOT 9 Laura Dr.,,"$750,000","1,980 Sq Ft",02703
717 Atlantic Ave Apt 7B,,"$829,000",32Units,02111
14 Gartland St # 3,,"$324,900",3Units,02130
31 Massasoit St,,"$679,000","1,185Sq Ft",02136
64 Bryon Rd Unit: 5,,"$300,000","2,100Sq Ft",02467
5 Albemarle St Apt 1,,"$204,900",780Sq Ft,02115
28 Windermere Rd,,"$589,000",923Sq Ft,02125
761 E 6Th St Apt 15,,"$449,000","2,992Sq Ft",02127
63 Colborne Rd Apt 1,,"$369,000",905Sq Ft,02135
1098 Bennington St # 3,,"$185,000",360Sq Ft,02128
65 East India Row Unit: 9E,,"$329,900","1,142Sq Ft",02110
10 Zamora Ct,,"$729,000","1,885 Sq Ft",02130
6 Clarendon St Apt 201,,"$729,000","2,208 Sq Ft",02116
689 E 4Th St # 2,,"$729,000",960 Sq Ft,02127
25 E Springfield St # 3,,"$729,000","2,100 Sq Ft",02118
44 Prince St Apt 311,,"$725,000","1,143 Sq Ft",02113
402 Marlborough St Apt 1,,"$724,900",796 Sq Ft,02115
112 Trapelo Rd,,"$699,900","1,041 Sq Ft",02478
354 K St,,"$699,000","2,055 Sq Ft",02127
243 W Newton St Apt 1,,"$699,000","1,435 Sq Ft",02116
11 Wyman St Apt 3D,,"$699,000","1,973 Sq Ft",02130
663 Tremont St # 1,,"$695,000",879 Sq Ft,02118
86 Main St # 86,,"$689,000","2,000 Sq Ft",02129
700 Harrison Ave Unit 508,,"$686,500","1,373 Sq Ft",02118
112 Trapelo Rd,,"$685,000","1,205 Sq Ft",02478
